t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
36.7		0.000235853		0.001352551		8.23E-05		0.000632073
36.8		0.000244583		0.001394107		8.34E-05		0.000633988
36.9		0.000252573		0.001434001		8.45E-05		0.00063912
37		0.000259474		0.001464267		8.53E-05		0.00064215
37.1		0.000276687		0.001550719		8.70E-05		0.000651656
37.2		0.00033796		0.001842011		9.55E-05		0.000710368
37.3		0.000320264		0.001761142		9.49E-05		0.000711484
37.4		0.000292928		0.001635999		9.18E-05		0.000693798
37.5		0.000291982		0.001612128		9.10E-05		0.000690842
37.6		0.000298165		0.001634703		9.14E-05		0.000692178
37.7		0.000282734		0.001580627		8.83E-05		0.000668062
37.8		0.000261417		0.001471668		8.60E-05		0.000646725
37.9		0.000254388		0.001432547		8.54E-05		0.000639673
38		0.000258947		0.001449678		8.59E-05		0.000640166
38.1		0.000264583		0.001471322		8.72E-05		0.000648076
38.2		0.000253218		0.001412075		8.67E-05		0.000645317
38.3		0.000246504		0.001376173		8.67E-05		0.000645306
38.4		0.000247121		0.00137697		8.65E-05		0.000641553
38.5		0.000248946		0.001384116		8.62E-05		0.0006395
38.6		0.000246665		0.00136991		8.62E-05		0.000638273
38.7		0.00024269		0.001346254		8.61E-05		0.000635765
38.8		0.000246742		0.001363238		8.68E-05		0.000636384
38.9		0.000262312		0.001440943		8.86E-05		0.000645194
39		0.000278627		0.00151923		9.10E-05		0.000660508
39.1		0.000279131		0.001514373		9.23E-05		0.000664218
39.2		0.000280516		0.001512696		9.32E-05		0.000666535
39.3		0.000310203		0.001649812		9.62E-05		0.000687597
39.4		0.000345196		0.001819959		9.95E-05		0.000713993
39.5		0.000284343		0.001531217		9.27E-05		0.000662887
39.6		0.000260745		0.001423372		8.99E-05		0.00064346
39.7		0.000260138		0.001426003		8.95E-05		0.000641247
39.8		0.000268056		0.001471747		9.03E-05		0.000649966
39.9		0.000265279		0.001457394		9.13E-05		0.000655576
40		0.000257038		0.001413135		9.20E-05		0.000657778
40.1		0.000262617		0.001437861		9.33E-05		0.000663909
40.2		0.000295789		0.001618048		9.66E-05		0.000695497
40.3		0.000340449		0.001822604		0.000105141		0.000767692
40.4		0.000285499		0.00155137		9.96E-05		0.000710541
40.5		0.000267113		0.001466617		9.73E-05		0.000688563
40.6		0.000276587		0.001524571		9.78E-05		0.000690636
40.7		0.000287398		0.001580162		9.99E-05		0.000705402
40.8		0.000272564		0.001484359		9.94E-05		0.000696068
40.9		0.00026184		0.001417828		9.87E-05		0.000689261
41		0.000263443		0.001419083		9.83E-05		0.000689402
41.1		0.000273731		0.001463258		9.93E-05		0.00069728
41.2		0.000270712		0.001439257		9.88E-05		0.000688101
41.3		0.00026701		0.001418825		9.85E-05		0.000680721
41.4		0.000270687		0.001440639		9.80E-05		0.000674931
41.5		0.000288265		0.001531567		9.99E-05		0.000687418
41.6		0.000299715		0.001588533		0.000102253		0.000706453
41.7		0.00029156		0.001551919		0.000102327		0.000703537
41.8		0.00029763		0.001583676		0.000103935		0.000713622
41.9		0.000338278		0.00178541		0.000109353		0.000761328
42		0.000374062		0.001930552		0.000113596		0.000799424
42.1		0.00034477		0.00178837		0.000112802		0.000786986
42.2		0.000329638		0.001729382		0.000111142		0.000769913
42.3		0.000371016		0.001890744		0.000115943		0.00080364
42.4		0.00043844		0.002227801		0.000127015		0.000890078
